edition,year,venue,round,team 1,team 2,score,score_halftime
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Yugoslavia (Југославија),Bolivia,4-0,0-0
1930-URUGUAY,1930,Montevideo.,1/2_FINAL,Uruguay,Yugoslavia (Југославија),6-1,3-1
1930-URUGUAY,1930,Montevideo.,1/2_FINAL,Argentina,USA,6-1,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,Chile,3-1,2-1
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Uruguay,Romania (România),4-0,4-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Paraguay,Belgium (België),1-0,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Brazil (Brasil),Bolivia,4-0,1-0
1930-URUGUAY,1930,Montevideo.,_FINAL,Uruguay,Argentina,4-2,1-2
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,Mexico (México),6-3,3-1
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Uruguay,Peru (Perú),1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,USA,Paraguay,3-0,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Chile,Mexico (México),3-0,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,France,1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Romania (România),Peru (Perú),3-1,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Yugoslavia (Југославија),Brazil (Brasil),2-1,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Chile,France,1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,USA,Belgium (België),3-0,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,France,Mexico (México),4-1,3-0
1934-ITALY,1934,Yěrūshālayim.,PRELIMINARY-N.E.,Palestine (فلسطين),Egypt (مصر),1-4,0-4
1934-ITALY,1934,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Cuba,1-3,0-1
1934-ITALY,1933,Bern.,PRELIMINARY-Europe,Switzerland (Schweiz / Suisse),Romania (România),2-0,w.o.
1934-ITALY,1933,Warszawa.,PRELIMINARY-Europe,Poland (Polska),Czechoslovakia (Československo),1-2,0-1
1934-ITALY,1933,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),2-2,0-0
